MUNCODMUN;"MUNNOMMUN";CALCODCAL;"CALCODSIG";"CALNOMCAL";"CALNOMCOR"
44;"OVIEDO                                            ";3626;"LUGAR";"RAPOSIA                                           ";"RAPOSIA                  "
44;"OVIEDO                                            ";4139;"PLAZA";"RAUL BERZOSA                                      ";"RAUL BERZOSA             "
44;"OVIEDO                                            ";411;"CALLE";"RAYO                                              ";"RAYO                     "
44;"OVIEDO                                            ";309;"CALLE";"RAYO MERCADIN ALTO                                ";"RAYO MERCADIN ALTO       "
44;"OVIEDO                                            ";310;"CALLE";"RAYO MERCADIN BAJO                                ";"RAYO MERCADIN BAJO       "
44;"OVIEDO                                            ";594;"TRVA ";"RAYO PRIMERA TRAVESIA                             ";"RAYO PRIMERA TRAVESIA    "
44;"OVIEDO                                            ";139;"CALLE";"REAL OVIEDO                                       ";"REAL OVIEDO              "
44;"OVIEDO                                            ";412;"CALLE";"REBECO EL                                         ";"REBECO EL                "
44;"OVIEDO                                            ";1005;"LUGAR";"REBOLLADA                                         ";"REBOLLADA                "
44;"OVIEDO                                            ";1111;"LUGAR";"REBOLLAL                                          ";"REBOLLAL                 "
44;"OVIEDO                                            ";413;"CALLE";"RECONQUISTA                                       ";"RECONQUISTA              "
44;"OVIEDO                                            ";414;"CALLE";"RECTOR LEOPOLDO ALAS HIJO                         ";"RECTOR LEOPOLDO ALAS HIJO"
44;"OVIEDO                                            ";415;"CALLE";"REGENTA LA                                        ";"REGENTA LA               "
44;"OVIEDO                                            ";416;"CALLE";"REGLA LA                                          ";"REGLA LA                 "
44;"OVIEDO                                            ";822;"CALLE";"REGUERA DE OLIVARES LA                            ";"REGUERA DE OLIVARES LA   "
44;"OVIEDO                                            ";4039;"CALLE";"REGUERAS LAS                                      ";"REGUERAS LAS             "
44;"OVIEDO                                            ";3322;"BARRO";"REQUEJADO                                         ";"REQUEJADO                "
44;"OVIEDO                                            ";1112;"LUGAR";"REQUEJO-LORIANA                                   ";"REQUEJO-LORIANA          "
44;"OVIEDO                                            ";2840;"LUGAR";"REQUEJO-TRUBIA                                    ";"REQUEJO-TRUBIA           "
44;"OVIEDO                                            ";3343;"PQUE ";"REVUELTA DEL COLLAU                               ";"REVUELTA DEL COLLAU      "
44;"OVIEDO                                            ";417;"CALLE";"REYES CATOLICOS                                   ";"REYES CATOLICOS          "
44;"OVIEDO                                            ";4040;"CALLE";"RIBERA DE ARRIBA                                  ";"RIBERA DE ARRIBA         "
44;"OVIEDO                                            ";418;"CALLE";"RICARDO MONTES                                    ";"RICARDO MONTES           "
44;"OVIEDO                                            ";762;"CALLE";"RICARDO VAZQUEZ PRADA                             ";"RICARDO VAZQUEZ PRADA    "
44;"OVIEDO                                            ";419;"PLAZA";"RIEGO DE                                          ";"RIEGO DE                 "
44;"OVIEDO                                            ";605;"LUGAR";"RIELLO                                            ";"RIELLO                   "
44;"OVIEDO                                            ";3510;"LUGAR";"RIENDA LA                                         ";"RIENDA LA                "
44;"OVIEDO                                            ";2806;"LUGAR";"RIERA LA                                          ";"RIERA LA                 "
44;"OVIEDO                                            ";758;"CALLE";"RIERA LA                                          ";"RIERA LA                 "
44;"OVIEDO                                            ";420;"CALLE";"RIO CARES                                         ";"RIO CARES                "
44;"OVIEDO                                            ";421;"CALLE";"RIO CAUDAL                                        ";"RIO CAUDAL               "
44;"OVIEDO                                            ";422;"CALLE";"RIO CUBIA                                         ";"RIO CUBIA                "
44;"OVIEDO                                            ";423;"CALLE";"RIO DEVA                                          ";"RIO DEVA                 "
44;"OVIEDO                                            ";424;"CALLE";"RIO DOBRA                                         ";"RIO DOBRA                "
44;"OVIEDO                                            ";425;"CALLE";"RIO EO                                            ";"RIO EO                   "
44;"OVIEDO                                            ";426;"CALLE";"RIO ESVA                                          ";"RIO ESVA                 "
44;"OVIEDO                                            ";573;"CALLE";"RIO IBIAS                                         ";"RIO IBIAS                "
44;"OVIEDO                                            ";427;"CALLE";"RIO NALON                                         ";"RIO NALON                "
44;"OVIEDO                                            ";428;"CALLE";"RIO NARCEA                                        ";"RIO NARCEA               "
44;"OVIEDO                                            ";429;"CALLE";"RIO NAVIA                                         ";"RIO NAVIA                "
44;"OVIEDO                                            ";430;"CALLE";"RIO NONAYA                                        ";"RIO NONAYA               "
44;"OVIEDO                                            ";431;"CALLE";"RIO NORA                                          ";"RIO NORA                 "
44;"OVIEDO                                            ";432;"CALLE";"RIO ORLE                                          ";"RIO ORLE                 "
44;"OVIEDO                                            ";433;"CALLE";"RIO PIGUEÑA                                       ";"RIO PIGUEÑA              "
44;"OVIEDO                                            ";434;"CALLE";"RIO PILOÑA                                        ";"RIO PILOÑA               "
44;"OVIEDO                                            ";435;"CALLE";"RIO PORCIA                                        ";"RIO PORCIA               "
44;"OVIEDO                                            ";436;"CALLE";"RIO SAN PEDRO                                     ";"RIO SAN PEDRO            "
44;"OVIEDO                                            ";437;"CALLE";"RIO SELLA                                         ";"RIO SELLA                "
44;"OVIEDO                                            ";4046;"CALLE";"RIOSA                                             ";"RIOSA                    "
44;"OVIEDO                                            ";2546;"BARRO";"RIVERO                                            ";"RIVERO                   "
44;"OVIEDO                                            ";438;"CALLE";"ROBERTO FRASINELLI                                ";"ROBERTO FRASINELLI       "
44;"OVIEDO                                            ";439;"CALLE";"ROBERTO VELAZQUEZ RIERA                           ";"ROBERTO VELAZQUEZ RIERA  "
44;"OVIEDO                                            ";1822;"LUGAR";"ROCES-COLLOTO                                     ";"ROCES-COLLOTO            "
44;"OVIEDO                                            ";1006;"LUGAR";"ROCES-LIMANES                                     ";"ROCES-LIMANES            "
44;"OVIEDO                                            ";1211;"LUGAR";"RODADA LA                                         ";"RODADA LA                "
44;"OVIEDO                                            ";1113;"LUGAR";"RODIELLA                                          ";"RODIELLA                 "
44;"OVIEDO                                            ";4115;"CALLE";"RODRIGO GROSSI                                    ";"RODRIGO GROSSI           "
44;"OVIEDO                                            ";4002;"PLAZA";"RODRIGO SUAREZ GARCIA                             ";"RODRIGO SUAREZ GARCIA    "
44;"OVIEDO                                            ";784;"AVDA ";"ROMA DE                                           ";"ROMA DE                  "
44;"OVIEDO                                            ";441;"CALLE";"RONDA                                             ";"RONDA                    "
44;"OVIEDO                                            ";623;"CALLE";"RONDA SUR                                         ";"RONDA SUR                "
44;"OVIEDO                                            ";4147;"PLAZA";"ROSA MARIA ESBERT ALEMANY                         ";"ROSA MARIA ESBERT ALEMANY"
44;"OVIEDO                                            ";442;"CALLE";"ROSAL                                             ";"ROSAL                    "
44;"OVIEDO                                            ";443;"CALLE";"ROSALES LOS                                       ";"ROSALES LOS              "
44;"OVIEDO                                            ";808;"LUGAR";"ROTELLA LA                                        ";"ROTELLA LA               "
44;"OVIEDO                                            ";3208;"LUGAR";"ROZAVILLAR                                        ";"ROZAVILLAR               "
44;"OVIEDO                                            ";603;"LUGAR";"ROZONA LA                                         ";"ROZONA LA                "
44;"OVIEDO                                            ";444;"CALLE";"RUA                                               ";"RUA                      "
44;"OVIEDO                                            ";4086;"CALLE";"RUBEN DARIO                                       ";"RUBEN DARIO              "
44;"OVIEDO                                            ";445;"CTRA ";"RUBIN                                             ";"RUBIN                    "
44;"OVIEDO                                            ";629;"CALLE";"SABINO ALVAREZ-GENDIN                             ";"SABINO ALVAREZ-GENDIN    "
44;"OVIEDO                                            ";446;"CALLE";"SACRAMENTO                                        ";"SACRAMENTO               "
44;"OVIEDO                                            ";725;"CALLE";"SALAS                                             ";"SALAS                    "
44;"OVIEDO                                            ";586;"PLAZA";"SALVADOR ALLENDE DE                               ";"SALVADOR ALLENDE DE      "
44;"OVIEDO                                            ";447;"CALLE";"SALVADOR DE MADARIAGA                             ";"SALVADOR DE MADARIAGA    "
44;"OVIEDO                                            ";4069;"CALLE";"SALVADOR FUENTE GONZALEZ                          ";"SALVADOR FUENTE GONZALEZ "
44;"OVIEDO                                            ";492;"CALLE";"SAMUEL SANCHEZ                                    ";"SAMUEL SANCHEZ           "
44;"OVIEDO                                            ";2807;"LUGAR";"SAN ANDRES                                        ";"SAN ANDRES               "
44;"OVIEDO                                            ";448;"CALLE";"SAN ANTONIO                                       ";"SAN ANTONIO              "
44;"OVIEDO                                            ";449;"CALLE";"SAN BENITO                                        ";"SAN BENITO               "
44;"OVIEDO                                            ";450;"CALLE";"SAN BERNABE                                       ";"SAN BERNABE              "
44;"OVIEDO                                            ";451;"CALLE";"SAN CIPRIANO                                      ";"SAN CIPRIANO             "
44;"OVIEDO                                            ";1901;"LUGAR";"SAN CIPRIANO DE PANDO                             ";"SAN CIPRIANO DE PANDO    "
44;"OVIEDO                                            ";3617;"LUGAR";"SAN CRISTOBAL                                     ";"SAN CRISTOBAL            "
44;"OVIEDO                                            ";452;"CALLE";"SAN FRANCISCO                                     ";"SAN FRANCISCO            "
44;"OVIEDO                                            ";4096;"PLAZA";"SAN FRANCISCO COLL                                ";"SAN FRANCISCO COLL       "
44;"OVIEDO                                            ";2821;"CALLE";"SAN FRANCISCO-TRUBIA                              ";"SAN FRANCISCO-TRUBIA     "
44;"OVIEDO                                            ";1721;"LUGAR";"SAN FRECHOSO                                      ";"SAN FRECHOSO             "
44;"OVIEDO                                            ";453;"CALLE";"SAN IGNACIO DE LOYOLA                             ";"SAN IGNACIO DE LOYOLA    "
44;"OVIEDO                                            ";454;"CALLE";"SAN ISIDORO                                       ";"SAN ISIDORO              "
44;"OVIEDO                                            ";455;"CALLE";"SAN JOSE                                          ";"SAN JOSE                 "
44;"OVIEDO                                            ";4091;"CALLE";"SAN JOSE DE CALASANZ                              ";"SAN JOSE DE CALASANZ     "
44;"OVIEDO                                            ";456;"CALLE";"SAN JUAN                                          ";"SAN JUAN                 "
44;"OVIEDO                                            ";457;"GTA  ";"SAN JUAN DE LA CRUZ                               ";"SAN JUAN DE LA CRUZ      "
44;"OVIEDO                                            ";3327;"BARRO";"SAN JULIAN                                        ";"SAN JULIAN               "
44;"OVIEDO                                            ";4167;"BULEV";"SAN JULIAN DE LOS PRADOS/SANTUYANO                ";"SAN JULIAN/SANTUYANO     "
44;"OVIEDO                                            ";458;"CALLE";"SAN LAZARO                                        ";"SAN LAZARO               "
44;"OVIEDO                                            ";459;"LUGAR";"SAN LAZARO DE PANICERES                           ";"SAN LAZARO DE PANICERES  "
44;"OVIEDO                                            ";4092;"CALLE";"SAN MARCELINO CHAMPAGNAT                          ";"SAN MARCELINO CHAMPAGNAT "
44;"OVIEDO                                            ";1222;"CALLE";"SAN MARTIN DE OSCOS                               ";"SAN MARTIN DE OSCOS      "
44;"OVIEDO                                            ";4041;"CALLE";"SAN MARTIN DEL REY AURELIO                        ";"S. M. REY AURELIO        "
44;"OVIEDO                                            ";460;"CALLE";"SAN MATEO                                         ";"SAN MATEO                "
44;"OVIEDO                                            ";51;"CALLE";"SAN MELCHOR GARCIA SAMPEDRO                       ";"SAN MELCHOR GCIA SAMPEDRO"
44;"OVIEDO                                            ";461;"PLAZA";"SAN MIGUEL                                        ";"SAN MIGUEL               "
44;"OVIEDO                                            ";2008;"LUGAR";"SAN MIGUEL-PEREDA                                 ";"SAN MIGUEL-PEREDA        "
44;"OVIEDO                                            ";462;"AVDA ";"SAN PEDRO DE LOS ARCOS                            ";"SAN PEDRO DE LOS ARCOS   "
44;"OVIEDO                                            ";463;"CALLE";"SAN PEDRO DE MESTALLON                            ";"SAN PEDRO DE MESTALLON   "
44;"OVIEDO                                            ";1609;"LUGAR";"SAN PEDRO DE NORA                                 ";"SAN PEDRO DE NORA        "
44;"OVIEDO                                            ";1729;"LUGAR";"SAN PELAYO                                        ";"SAN PELAYO               "
44;"OVIEDO                                            ";3618;"LUGAR";"SAN RAFAEL                                        ";"SAN RAFAEL               "
44;"OVIEDO                                            ";624;"CALLE";"SAN RAFAEL ARNAIZ                                 ";"SAN RAFAEL ARNAIZ        "
44;"OVIEDO                                            ";464;"CALLE";"SAN ROQUE                                         ";"SAN ROQUE                "
44;"OVIEDO                                            ";3106;"BARRO";"SAN ROQUE-ANIEVES                                 ";"SAN ROQUE-ANIEVES        "
44;"OVIEDO                                            ";652;"TRVA ";"SAN ROQUE-SAN CLAUDIO                             ";"SAN ROQUE-SAN CLAUDIO    "
44;"OVIEDO                                            ";2521;"LUGAR";"SAN ROQUE-SAN CLAUDIO                             ";"SAN ROQUE-SAN CLAUDIO    "
44;"OVIEDO                                            ";2531;"CALLE";"SAN ROQUE-SAN CLAUDIO                             ";"SAN ROQUE-SAN CLAUDIO    "
44;"OVIEDO                                            ";2549;"CALLE";"SAN ROQUE-SAN ROQUE                               ";"SAN ROQUE-SAN ROQUE      "
44;"OVIEDO                                            ";1223;"CALLE";"SAN TIRSO DE ABRES                                ";"SAN TIRSO DE ABRES       "
44;"OVIEDO                                            ";1212;"LUGAR";"SAN TORCUATO                                      ";"SAN TORCUATO             "
44;"OVIEDO                                            ";465;"CALLE";"SAN VICENTE                                       ";"SAN VICENTE              "
44;"OVIEDO                                            ";466;"CALLE";"SANTA ANA                                         ";"SANTA ANA                "
44;"OVIEDO                                            ";1843;"LUGAR";"SANTA ANA DE ABULI                                ";"SANTA ANA DE ABULI       "
44;"OVIEDO                                            ";621;"TRANS";"SANTA BARBARA DE                                  ";"SANTA BARBARA DE         "
44;"OVIEDO                                            ";467;"CALLE";"SANTA CLARA                                       ";"SANTA CLARA              "
44;"OVIEDO                                            ";1304;"LUGAR";"SANTA EULALIA                                     ";"SANTA EULALIA            "
44;"OVIEDO                                            ";468;"CALLE";"SANTA EULALIA DE MERIDA                           ";"SANTA EULALIA DE MERIDA  "
44;"OVIEDO                                            ";1224;"CALLE";"SANTA EULALIA DE OSCOS                            ";"SANTA EULALIA DE OSCOS   "
44;"OVIEDO                                            ";2839;"LUGAR";"SANTA MARIA                                       ";"SANTA MARIA              "
44;"OVIEDO                                            ";1408;"LUGAR";"SANTA MARIA DEL NARANCO                           ";"SANTA MARIA DEL NARANCO  "
44;"OVIEDO                                            ";469;"CALLE";"SANTA SUSANA                                      ";"SANTA SUSANA             "
44;"OVIEDO                                            ";470;"CALLE";"SANTA TERESA DE JESUS                             ";"SANTA TERESA DE JESUS    "
44;"OVIEDO                                            ";471;"AVDA ";"SANTANDER DE                                      ";"SANTANDER DE             "
44;"OVIEDO                                            ";1819;"CTRA ";"SANTANDER-CERDEÑO                                 ";"SANTANDER-CERDEÑO        "
44;"OVIEDO                                            ";2841;"LUGAR";"SANTIAGO                                          ";"SANTIAGO                 "
44;"OVIEDO                                            ";4080;"CALLE";"SANTIAGO DE COMPOSTELA                            ";"SANTIAGO DE COMPOSTELA   "
44;"OVIEDO                                            ";2601;"LUGAR";"SANTIANES                                         ";"SANTIANES                "
44;"OVIEDO                                            ";727;"CALLE";"SANTO ADRIANO                                     ";"SANTO ADRIANO            "
44;"OVIEDO                                            ";472;"PLAZA";"SANTO DOMINGO                                     ";"SANTO DOMINGO            "
44;"OVIEDO                                            ";806;"LUGAR";"SANTO MEDERO                                      ";"SANTO MEDERO             "
44;"OVIEDO                                            ";473;"PLAZA";"SANTULLANO DE                                     ";"SANTULLANO DE            "
44;"OVIEDO                                            ";474;"CALLE";"SANZ Y FORES                                      ";"SANZ Y FORES             "
44;"OVIEDO                                            ";475;"CALLE";"SARA SUAREZ SOLIS                                 ";"SARA SUAREZ SOLIS        "
