117;CALLE;CONCEPCION;
114;CALLE;CONCEPCIONARENAL;
695;PLAZA;CONCEYINDEL;
1836;LUGAR;CONCEYIN-CORREDORIA;
4005;PLAZA;CONCHAHERES;
118;CALLE;CONCINOS;
2004;LUGAR;CONDADOEL;
119;CALLE;CONDEDETORENO;
690;PLAZA;CONSEJODEEUROPA;
1402;LUGAR;CONSTANTE;
120;CALLE;CONSTANTINOCABAL;
121;PLAZA;CONSTITUCIONDELA;
122;CALLE;CONSUL;
903;LUGAR;CONTRIZLA;
706;GRUP;COOPERATIVASANTATERESASOTOABAJO;
2538;LUGAR;CORNAU;
2811;GRUP;CORONELBAEZA;
124;CALLE;CORONELBOBES;
704;GRUP;CORONELESTEBAN-SOTODEABAJO;
2816;CALLE;CORONELHERNANDOESPINOSA;
334;PLAZA;CORRADADELOBISPO;
2307;LUGAR;CORRAPIEDRALA;
1834;CTRA;CORREDORIAALTA;
1835;CTRA;CORREDORIABAJA;
1725;CALLE;CORSINONAVESLLANEZA;
786;PQUE;CORSINOSUAREZMIRANDA;
1850;LUGAR;CORTIJOEL;
1504;LUGAR;CORTINA;
126;CALLE;CORU�ALA;
788;CALLE;CORVERA;
1205;LUGAR;CORZOSLOS;
128;CALLE;COSTAVERDE;
3511;LUGAR;COTARIELLO-CACES;
3338;LUGAR;COTARIELLO-TUDELAVEGUIN;
2507;LUGAR;COTAYON-SANCLAUDIO;
3308;LUGAR;COTOLAPILA;
129;CALLE;COVADONGA;
3606;LUGAR;COVADONGA-CRUCES;
705;GRUP;COVADONGA-SOTOABAJO;
130;AVDA;CRISTODELASCADENAS;
3607;LUGAR;CRUCEEL-CRUCES;
1706;LUGAR;CRUCEEL-OLLONIEGO;
3608;LUGAR;CRUCESLAS;
2508;LUGAR;CRUZLA;
4058;PSAJE;CRUZLA;
694;GTA;CRUZROJADELA;
133;CALLE;CUATROASESDELACANCIONASTURIANA;
628;PLAZA;CUATROCA�OS;
2014;LUGAR;CUBA;
789;CALLE;CUDILLERO;
2303;LUGAR;CUESTAAYONES;
815;CALLE;CUESTADEOLIVARESLA;
2802;LUGAR;CUESTASLAS;
3624;LUGAR;CUETO;
3309;LUGAR;CUEVALA-BOX;
1707;LUGAR;CUEVALA-OLLONIEGO;
1807;LUGAR;CUYENCES;
635;CALLE;DANIELMOYANO;
135;PLAZA;DAOIZYVELARDE;
136;CALLE;DARIODEREGOYOS;
4153;PLAZA;DEPORTEADAPTADODEL;
572;CALLE;DERECHOSHUMANOS;
1406;LUGAR;DESCANSODELVAQUERO;
672;CALLE;DIAMANTINARODRIGUEZ;
1864;CALLE;DINAMARCA;
138;CALLE;DIONISIORIDRUEJO;
140;CALLE;DOCTORALFREDOMARTINEZ;
